sim_id,p_NiNi_a,p_NiNi_D0,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_F0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
17.0,1.1971318550023349,0.5886982053808972,2.8785461132342527,3.006179751753398,2.207545417784654,2.2272739185795687,-1.1021804789090175,-4.976145629158175,3.58390015243892,-0.526145629158175,0.06390015243892
18.0,1.7732240341745615,0.2536559005320317,4.545321323113539,1.7138303617421595,6.42275872995346,2.475501907427745,-2.7806987715864198,-1.099365303453295,6.5656789000001,3.350634696546705,3.0456789000001003
19.0,1.8284633362395366,0.02584879101627524,4.193050062649787,3.274288044631965,6.772592009013876,1.5798683984278368,-4.22078026828506,-0.13120666519153126,6.37376811316724,4.318793334808469,2.85376811316724
20.0,0.7476955037311815,0.3180428400557268,4.798829295473775,1.5428485210939682,4.590134495052541,2.462864119624832,-1.6973765709686055,-0.26641766685324,6.5656789000001,4.18358233314676,3.0456789000001003
21.0,1.3319626195339667,0.025037609363148916,4.9003429534252,2.2031740227685486,6.206491652978459,1.8928108827016898,-3.1356605622514655,-0.20820606601380376,6.5656789000001,4.241793933986196,3.0456789000001003
25.0,1.326086962285955,0.8132456760654039,3.089730722042017,1.0784660752963209,6.546504064543835,2.217820886980796,-4.093954403202342,-2.645747678105625,4.16355843764941,1.8042523218943751,0.6435584376494101
26.0,1.5825628439382005,0.8730226693310686,2.674131739230458,1.1282938774901161,4.000522594149204,3.682043996688595,-0.053600362254331735,-5.5381458848881,3.5427827162458,-1.0881458848880996,0.02278271624579986
27.0,0.47204452129494545,0.9729092782456531,4.661954241398857,2.222374686860371,4.205874018640403,1.3018798634184012,-0.7441267115618375,-0.0103460085707997,6.5656789000001,4.439653991429201,3.0456789000001003
29.0,0.929072599562004,0.24487572239929956,3.0492788973607614,2.2256521652066152,4.342449711316874,1.2085125666166134,-0.2053563917395005,-0.1811857542185855,4.672654762482,4.268814245781415,1.1526547624819998
30.0,1.9321937099366755,0.4824357051648285,3.904816661230083,1.125976816602052,4.2670999245873915,2.006960286692197,-4.1058695944969354,-0.54069760484388,5.67022155254928,3.90930239515612,2.15022155254928
33.0,0.4800603082677491,0.812372361303176,4.3422560345956756,1.429860018053379,3.05541760676386,1.434503970111579,-1.2955901899851954,-0.0221214317924198,6.5656789000001,4.42787856820758,3.0456789000001003
35.0,1.4542497312302474,0.9254620684028486,3.048943068477166,3.0074313776703443,2.3025318201272404,2.7826828266187214,-0.16021676615034952,-2.958453900649675,4.31402022165984,1.4915460993503253,0.79402022165984
36.0,1.2408463206331442,0.22204497338895668,3.9948079366793774,2.157090343393212,3.8936917699424223,2.6217289752004858,-1.8432796836025025,-0.5560332155008275,5.43653969915993,3.8939667844991726,1.9165396991599297
37.0,0.6150633361674183,0.4316658474260351,4.4302101535516965,1.9107733762960648,5.514432841511617,1.7916097930399304,-4.109687931238111,-0.1704435206635925,6.5656789000001,4.279556479336407,3.0456789000001003
39.0,1.823439890490427,0.32873190270933517,4.819376008073727,1.3946615504249658,2.0913590334924246,4.558110522964551,-4.138539892745534,-5.924732980388575,6.04414374857486,-1.4747329803885751,2.52414374857486
42.0,1.2764494922672198,0.6615381166595999,3.3192041799368255,2.925177512646533,3.581261261071056,2.8316149553162564,-0.11948351923693235,-0.959971437246735,4.83510968390503,3.490028562753265,1.3151096839050296
43.0,1.0480951160352534,0.9664496243121735,4.797338181898241,2.326694104551924,3.662386031721717,2.468187206147955,-4.664091494213485,-0.61697018792898,6.5656789000001,3.83302981207102,3.0456789000001003
44.0,1.006337578873627,0.788195928101205,4.079344825046029,2.236423929939284,2.0672257566840018,2.983965555106367,-2.69347963615479,-2.777320395960825,5.31506330045087,1.6726796040391751,1.7950633004508698
45.0,1.746967492981459,0.3321574472423853,2.7233069289449583,2.1083220819420356,6.931315294572519,1.071051798071693,-2.45956667287691,-1.5506157109299825,3.80925156640654,2.8993842890700177,0.28925156640654004
46.0,1.4091453606784072,0.5524681326543057,4.969634695164701,2.040067640170748,4.3238341093772155,4.099893808221454,-1.6064801861774374,-8.902070858922224,6.5656789000001,-4.452070858922224,3.0456789000001003
47.0,1.4053750494457047,0.7620462372353736,4.494602782879111,2.7491225241236386,3.4530797014389214,2.1887663596371305,-2.9876339516037023,-0.24456149898500876,6.5656789000001,4.205438501014991,3.0456789000001003
48.0,1.374410691995376,0.3468847984440945,4.157308935840859,2.2068246567145113,5.832828542709278,2.850306011348923,-2.9358661865054487,-2.982075644987575,6.56671497890194,1.4679243550124252,3.04671497890194
49.0,1.4973258441440471,0.5375388512430614,4.956407922565566,1.9563974136747313,5.103448862499091,3.1734735443499837,-2.0318624556441893,-2.763060545147475,6.5656789000001,1.6869394548525252,3.0456789000001003
51.0,1.4268079983651982,0.5514455718570925,3.8701487807487593,1.0400861199693403,6.405891703369049,1.1348174748968471,-4.203655926499676,-0.1043828918385295,5.87054921039613,4.345617108161471,2.3505492103961303
52.0,0.2811559610893617,0.904462594271193,2.3003325948098943,2.3643173320189055,5.905736947195612,1.2760477119940505,-0.48626402095744137,-0.0051339085757052,6.56671422287334,4.444866091424295,3.0467142228733404
54.0,1.0731410766457277,0.5404428507852507,4.844020783822416,1.8224937195465087,3.433495688715571,1.056601970085115,-2.2726724883734164,-0.0215840453193164,6.5656789000001,4.428415954680684,3.0456789000001003
55.0,1.5052737901383126,0.08626748213175062,4.818315847069313,1.4070503852355942,4.259932480751812,1.5893968230370956,-0.2422428772767251,-0.00490116476916715,6.5656789000001,4.445098835230833,3.0456789000001003
56.0,0.7946644360469641,0.47958393567103164,4.821967499375274,2.062073548547802,3.016166475726186,1.5136275969269448,-1.465365080389485,-0.03408857944997475,6.5656789000001,4.415911420550025,3.0456789000001003
57.0,0.9447835392517874,0.9614612641942162,2.933942804584066,1.1456383789731759,2.0351862956363984,2.0986231757691343,-3.6895798913665043,-8.139158707546825,3.34770655808582,-3.6891587075468246,-0.17229344191418017
