sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_F0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
00_000046,2.2843132569865747,4.371051162966847,2.2264554223836823,1.252059596837923,2.602686278291203,2.1884760965365424,-4.190473773386334,-6.801862123694125,3.63135461814772,-2.351862123694125,0.11135461814772007
00_000047,3.9276789627148596,4.362161552261323,4.890226719465914,2.360524050560707,3.887108435727281,1.2088474072407318,-3.0450746173264642,-0.03809792757747125,6.5656789000001,4.411902072422529,3.0456789000001003
00_000048,1.8739950183497192,4.338283623456052,3.761246030395593,1.483632150795188,2.344453726276841,4.12963249714006,-1.2932233163627824,-1.7783179664734625,5.89498668745539,2.6716820335265377,2.3749866874553898
00_000049,0.34588845503252746,2.808810779442715,3.8574160873718877,3.974122613599888,5.451196889672329,2.197926127649627,-3.851248729539411,-0.691957401367245,6.5656789000001,3.758042598632755,3.0456789000001003
00_000050,2.999371779236876,4.147435349264449,2.2668994056844674,1.1761385668551791,4.399503086629723,2.798825479480342,-3.86714942192213,-37.11830564543925,10.0172033649298,-32.66830564543925,6.497203364929801
00_000051,3.567785682209534,3.5269737395346636,4.681599951880752,3.5985741805725433,4.3824867678544805,4.280149627993154,-3.284843233866046,-38.6052841270235,6.5656789000001,-34.1552841270235,3.0456789000001003
00_000052,2.9489152470522995,6.950769298206247,4.1065987075807096,2.1536581127756236,5.266547421275775,1.51587977713144,-0.5670136658753302,-0.01172636867368935,6.5656789000001,4.438273631326311,3.0456789000001003
00_000053,1.8142132881452688,2.6101092785652122,4.807437966980595,2.279897533783145,5.872587571153221,1.8015884797560715,-1.3672415163911413,-0.0665974380566655,6.5656789000001,4.383402561943335,3.0456789000001003
00_000054,2.3574457784353324,5.6677910233088955,3.990297349301712,3.953157683255882,5.876980519312657,2.1049917836434955,-4.840569733417024,-0.7579424765893125,6.5656789000001,3.692057523410688,3.0456789000001003
00_000055,2.095062012261072,6.603190525297643,2.18189690795882,3.241196422769169,5.926823831623534,2.5530145469455205,-0.5996297744374726,-2.952905407816925,3.44007614121269,1.4970945921830752,-0.07992385878731012
00_000056,3.879933629567016,5.4331531736661685,2.940128222017088,3.404696862764606,2.771349453912497,2.21078369549061,-3.7048758297792554,-2.52231259014185,4.96274603247523,1.9276874098581502,1.4427460324752297
00_000057,2.239823676701657,6.110595219646173,2.391905921985778,3.592401351737686,4.5172740520815715,2.001009858077613,-3.7438786818439898,-3.04655553759655,3.8489562045692,1.40344446240345,0.32895620456920005
00_000058,3.451538021899127,5.48313245443407,2.4433901205993207,1.9572099054333165,3.797027339331466,2.460394405609694,-1.3210333941268488,-1.33791645893376,4.32076156425039,3.11208354106624,0.8007615642503896
00_000059,3.3563495430069694,6.179442550790626,3.351374031470769,2.358641760540735,6.848653035639225,1.188377417927223,-3.2394028605256673,-0.022372553627038275,6.56847930614874,4.427627446372962,3.04847930614874
00_000060,1.11455782821971,5.06975257074484,4.234060200189518,2.3103436311803813,6.3554137036707665,4.093614144897586,-3.517909272624013,-267.600691848335,6.5656789000001,-263.150691848335,3.0456789000001003
00_000061,1.1932502295692997,6.672217922635375,2.387326008254475,1.1200310791841455,6.075054763700546,1.4362047510316747,-4.884447726726754,-0.069856475484027,4.51883639222736,4.380143524515973,0.9988363922273602
00_000062,2.1135515819008104,2.312195252233813,4.949535963852062,3.710915032498104,4.596600293953474,3.3269455993654082,-2.3717793557373983,-4.2182530470692,6.5656789000001,0.23174695293080028,3.0456789000001003
